start_time,close,datetime,high,low,open,volume
1717876800000,69361.5,2024-06-08 20:00:00,69475.0,69308.2,69452.7,40.83684203
1717880400000,69399.1,2024-06-08 21:00:00,69450.1,69312.0,69361.5,130.74029507
1717884000000,69335.6,2024-06-08 22:00:00,69413.7,69281.2,69399.1,56.20888097
1717887600000,69311.5,2024-06-08 23:00:00,69375.1,69288.4,69335.6,88.1595286
1717891200000,69277.7,2024-06-09 00:00:00,69332.2,69241.6,69311.5,44.6091055
1717894800000,69282.8,2024-06-09 01:00:00,69351.4,69228.2,69277.8,35.42630568
1717898400000,69173.5,2024-06-09 02:00:00,69304.0,69155.9,69282.9,59.90193866
1717902000000,69261.8,2024-06-09 03:00:00,69300.0,69134.0,69173.5,51.2896178
1717905600000,69308.6,2024-06-09 04:00:00,69314.3,69245.2,69261.8,23.82315315
1717909200000,69300.9,2024-06-09 05:00:00,69373.8,69234.6,69308.7,31.52548921
1717912800000,69389.9,2024-06-09 06:00:00,69400.0,69288.0,69300.9,45.28635493
1717916400000,69304.8,2024-06-09 07:00:00,69435.1,69285.5,69389.9,88.05199437
1717920000000,69357.8,2024-06-09 08:00:00,69366.2,69285.8,69304.9,43.06802915
1717923600000,69365.0,2024-06-09 09:00:00,69404.2,69338.6,69357.9,37.71076808
1717927200000,69351.3,2024-06-09 10:00:00,69378.3,69324.9,69365.0,23.73760368
1717930800000,69368.8,2024-06-09 11:00:00,69396.0,69327.6,69351.4,41.60083443
1717934400000,69697.9,2024-06-09 12:00:00,69773.2,69356.5,69368.9,164.31429678
1717938000000,69453.3,2024-06-09 13:00:00,69775.0,69253.0,69700.0,158.36049586
1717941600000,69489.0,2024-06-09 14:00:00,69565.2,69264.7,69453.3,98.71077507
1717945200000,69508.5,2024-06-09 15:00:00,69584.0,69425.1,69489.0,117.86435643
1717948800000,69614.9,2024-06-09 16:00:00,69640.4,69493.8,69508.6,180.31754567
1717952400000,69657.1,2024-06-09 17:00:00,69698.4,69563.4,69615.0,56.49491456
1717956000000,69741.0,2024-06-09 18:00:00,69850.0,69604.4,69657.0,70.96807351
1717959600000,69707.2,2024-06-09 19:00:00,69846.3,69645.0,69740.9,91.5396505
1717963200000,69684.8,2024-06-09 20:00:00,69730.5,69591.5,69707.3,53.27084707
1717966800000,69744.3,2024-06-09 21:00:00,69818.0,69605.9,69684.9,48.84577639
1717970400000,69633.6,2024-06-09 22:00:00,69788.3,69617.9,69744.3,47.62534951
1717974000000,69641.8,2024-06-09 23:00:00,69685.5,69593.5,69636.3,25.45374829
1717977600000,69563.9,2024-06-10 00:00:00,69652.9,69413.8,69641.8,67.69014842
1717981200000,69619.7,2024-06-10 01:00:00,69677.6,69512.0,69563.9,88.30002966
1717984800000,69708.2,2024-06-10 02:00:00,69798.9,69600.0,69619.7,101.55470987
1717988400000,69613.7,2024-06-10 03:00:00,69775.9,69572.9,69708.2,90.10727657
1717992000000,69672.5,2024-06-10 04:00:00,69701.4,69507.8,69613.8,210.23700883
1717995600000,69564.7,2024-06-10 05:00:00,69672.5,69526.6,69672.5,45.39856964
1717999200000,69428.7,2024-06-10 06:00:00,69612.2,69331.1,69564.8,154.40553202
1718002800000,69292.0,2024-06-10 07:00:00,69509.1,69203.5,69428.8,139.32016099
1718006400000,69393.6,2024-06-10 08:00:00,69497.1,69279.8,69292.6,82.80434924
1718010000000,69448.3,2024-06-10 09:00:00,69473.0,69156.1,69392.9,182.96838115
1718013600000,69436.2,2024-06-10 10:00:00,69477.1,69351.5,69448.2,69.93477697
1718017200000,69472.0,2024-06-10 11:00:00,69560.0,69333.0,69436.3,122.6448879
1718020800000,69366.7,2024-06-10 12:00:00,69520.0,69326.4,69472.1,57.22389328
1718024400000,69414.8,2024-06-10 13:00:00,69516.0,69216.7,69366.7,168.28508084
1718028000000,69670.9,2024-06-10 14:00:00,69675.8,69296.5,69414.8,238.06141455
1718031600000,70058.6,2024-06-10 15:00:00,70186.2,69606.0,69671.0,507.46465043
1718035200000,69973.8,2024-06-10 16:00:00,70105.1,69720.1,70058.6,190.69348177
1718038800000,70031.9,2024-06-10 17:00:00,70060.0,69755.0,69973.8,133.62403741
1718042400000,69850.7,2024-06-10 18:00:00,70120.0,69725.4,70032.0,158.21540843
1718046000000,69496.3,2024-06-10 19:00:00,69850.8,69384.6,69850.8,210.03790309
1718049600000,69620.6,2024-06-10 20:00:00,69684.8,69333.0,69496.3,212.25768771
1718053200000,69579.0,2024-06-10 21:00:00,69685.3,69526.6,69620.6,47.37440971
1718056800000,69495.6,2024-06-10 22:00:00,69591.1,69415.3,69579.0,53.70526757
1718060400000,69545.0,2024-06-10 23:00:00,69574.7,69399.9,69495.7,397.32052784
1718064000000,69416.5,2024-06-11 00:00:00,69583.5,69400.0,69545.0,115.40186994
1718067600000,68712.1,2024-06-11 01:00:00,69523.5,68395.0,69416.6,1630.32310336
1718071200000,68262.6,2024-06-11 02:00:00,68931.6,67891.0,68712.0,1527.91344845
1718074800000,68464.8,2024-06-11 03:00:00,68484.7,68168.1,68262.7,358.95566649
1718078400000,68037.5,2024-06-11 04:00:00,68464.8,67618.2,68464.8,1508.23974491
1718082000000,67900.1,2024-06-11 05:00:00,68104.6,67658.0,68037.5,410.03272336
1718085600000,67730.0,2024-06-11 06:00:00,67979.6,67300.9,67900.1,785.65482763
1718089200000,67568.9,2024-06-11 07:00:00,67849.4,67528.0,67716.0,649.2410503
1718092800000,67518.2,2024-06-11 08:00:00,67647.3,67278.8,67576.2,321.49728011
1718096400000,67092.7,2024-06-11 09:00:00,67661.7,66870.1,67518.2,619.90427362
1718100000000,66961.3,2024-06-11 10:00:00,67286.6,66728.7,67092.4,445.25813468
1718103600000,66901.7,2024-06-11 11:00:00,67113.6,66764.1,66961.1,312.4959214
1718107200000,67021.8,2024-06-11 12:00:00,67189.4,66800.0,66902.5,325.33151419
1718110800000,66818.7,2024-06-11 13:00:00,67280.0,66520.0,67028.2,555.94141644
1718114400000,66846.2,2024-06-11 14:00:00,67095.9,66771.9,66812.0,243.56703459
1718118000000,66230.3,2024-06-11 15:00:00,67060.2,66000.0,66846.1,1430.22477136
1718121600000,66484.0,2024-06-11 16:00:00,66737.7,66153.9,66230.2,601.41671286
1718125200000,66765.9,2024-06-11 17:00:00,66800.0,66169.6,66484.0,340.44946688
1718128800000,67119.3,2024-06-11 18:00:00,67232.0,66633.1,66762.4,256.19458943
1718132400000,67400.1,2024-06-11 19:00:00,67585.0,67062.1,67119.4,277.93952698
1718136000000,67290.2,2024-06-11 20:00:00,67494.4,67168.8,67402.1,155.96811516
1718139600000,67395.0,2024-06-11 21:00:00,67395.1,67196.6,67290.2,75.84823753
1718143200000,67360.9,2024-06-11 22:00:00,67573.9,67304.8,67395.1,99.56199059
1718146800000,67314.5,2024-06-11 23:00:00,67578.0,67300.0,67361.0,162.92088323
1718150400000,67188.0,2024-06-12 00:00:00,67433.4,67169.2,67312.2,137.80037351
1718154000000,67169.6,2024-06-12 01:00:00,67242.9,66892.4,67188.0,293.97026686
1718157600000,67408.0,2024-06-12 02:00:00,67602.7,67114.8,67169.6,398.39741752
1718161200000,67409.9,2024-06-12 03:00:00,67488.9,67316.2,67408.0,118.74604979
1718164800000,67485.1,2024-06-12 04:00:00,67606.7,67373.1,67409.9,273.10961037
1718168400000,67258.4,2024-06-12 05:00:00,67521.0,67200.1,67485.2,563.98640171
1718172000000,67277.9,2024-06-12 06:00:00,67400.0,67258.3,67258.3,359.84437129
1718175600000,67459.2,2024-06-12 07:00:00,67492.4,67230.1,67278.0,188.31666536
1718179200000,67396.0,2024-06-12 08:00:00,67552.4,67380.1,67459.1,327.81130478
1718182800000,67747.1,2024-06-12 09:00:00,67800.0,67351.3,67396.0,221.7587676
1718186400000,68000.1,2024-06-12 10:00:00,68055.0,67747.1,67747.1,377.78484874
